#hostname	circleLatitude	circleLongitude	radius	ttl	iataCode	iataLatitude	iataLongitude	city	code_country
6047	52.8405	-6.9305	359.915539604	59	DUB	53.4212989807	-6.270070076	Dublin	IE
4777	41.8705	12.4805	990.792180951	60	ROM	41.799444	12.597222	Rome	IT
6029	50.5815	3.1385	500.601039796	55	LINX	51.5286416	-0.1015987	London	GB
3579	29.7315	-95.3595	1995.21702947	53	MEX	19.4363002777	-99.0720977783	Mexico City	MX
6132	14.6485	121.0685	5341.70201664	48	SHA	31.1979007721	121.335998535	Shanghai	CN
