#hostname	circleLatitude	circleLongitude	radius	ttl	iataCode	iataLatitude	iataLongitude	city	code_country
6047	52.8405	-6.9305	359.915539604	59	DUB	53.4212989807	-6.270070076	Dublin	IE
850	50.3575	7.5895	996.548196145	49	LHR	51.4706001282	-0.4619410038	London	GB
